Name,Full Address,Phone,Website,Email,Category - Bar/Restaurant / Wholesaler / Hotel / Retail Shop
Haymarket Hotel – Firmdale,"1 Suffolk Place, London SW1Y 4HX. ",,https://www.firmdalehotels.com/hotels/haymarket-hotel ,,Hotel
Manteca,"49–51 Curtain Road, London EC2A 3PT",,https://www.mantecarestaurant.co.uk,,Restaurant
Roka Charlotte Street,"37 Charlotte Street, London W1T 1RR",,https://www.rokarestaurant.com/locations/charlotte-street/,,Restaurant
L’Enclume,"Cavendish Street, Cartmel, Cumbria LA11 6QA ",,https://www.lenclume.co.uk/ ,,Restaurant
Soho Hotel – Firmdale,"4 Richmond Mews, London W1D 3DH. ",,https://www.firmdalehotels.com/hotels/the-soho-hotel ,,Hotel
The Ivy Spinningfields,"The Pavilion, Byrom Street, Spinningfields, Manchester M3 3HG. ",,https://ivycollection.com/restaurants-near-me/the-ivy-north-west/the-ivy-manchester/ ,,Restaurant
The Ivy ,"1–5 West Street, London WC2H 9NQ ",,https://ivycollection.com/restaurants-near-me/the-ivy-london/the-ivy-west-street-covent-garden/ ,,Restaurant
The Porterhouse ,"21–22 Maiden Lane, London WC2E 7NA. ",,https://porterhouse.london/ ,,Pub
Hawksmoor Air Street,"5a Air Street, London W1J 0AD ",,https://thehawksmoor.com/locations/airstreet/ ,,Restaurant
Hawksmoor Guildhall,"10 Basinghall Street, London EC2V 5BQ ",,https://thehawksmoor.com/locations/guildhall/ ,,Restaurant
Hawksmoor Liverpool,"8 Brunswick Street, Liverpool L2 0PL",,https://thehawksmoor.com/locations/liverpool,,Restaurant
Hawksmoor Manchester,"184–186 Deansgate, Manchester M3 3WB ",,https://thehawksmoor.com/locations/manchester/ ,,Restaurant
Hawksmoor Spitalfields,"157a Commercial Street, London E1 6BJ",,https://thehawksmoor.com/locations/spitalfields,,Restaurant
Hawksmoor Wood Wharf,"1 Water Street, London E14 5GX ",,https://thehawksmoor.com/locations/wood-wharf/,,Restaurant
